GRD Start Ch,GRD End Ch,Section,Start Ch,End Ch,Length,Direction
344,364,1440U7711_/0010,0,20,20,F
364,384,1440U7711_/0010,20,40,20,F
384,404,1440U7711_/0010,40,60,20,F
404,424,1440U7711_/0010,60,80,20,F
424,444,1440U7711_/0010,80,100,20,F
444,464,1440U7711_/0010,100,120,20,F
464,484,1440U7711_/0010,120,140,20,F
484,504,1440U7711_/0010,140,160,20,F
504,524,1440U7711_/0010,160,180,20,F
524,544,1440U7711_/0010,180,200,20,F
544,564,1440U7711_/0010,200,220,20,F
564,584,1440U7711_/0010,220,240,20,F
584,604,1440U7711_/0010,240,260,20,F
604,624,1440U7711_/0010,260,280,20,F
624,644,1440U7711_/0010,280,300,20,F
644,664,1440U7711_/0010,300,320,20,F
664,684,1440U7711_/0010,320,340,20,F
684,704,1440U7711_/0010,340,360,20,F
704,724,1440U7711_/0010,360,380,20,F
724,744,1440U7711_/0010,380,400,20,F
744,764,1440U7711_/0010,400,420,20,F
764,784,1440U7711_/0010,420,440,20,F
784,804,1440U7711_/0010,440,460,20,F
804,824,1440U7711_/0010,460,480,20,F
824,844,1440U7711_/0010,480,500,20,F
844,864,1440U7711_/0010,500,520,20,F
864,884,1440U7711_/0010,520,540,20,F
884,904,1440U7711_/0010,540,560,20,F
904,924,1440U7711_/0010,560,580,20,F
924,944,1440U7711_/0010,580,600,20,F
944,964,1440U7711_/0010,600,620,20,F
964,984,1440U7711_/0010,620,640,20,F
984,1004,1440U7711_/0010,640,660,20,F
1004,1024,1440U7711_/0010,660,680,20,F
1024,1044,1440U7711_/0010,680,700,20,F
1044,1064,1440U7711_/0010,700,720,20,F
1064,1084,1440U7711_/0010,720,740,20,F
1084,1104,1440U7711_/0010,740,760,20,F
1104,1124,1440U7711_/0010,760,780,20,F
1124,1144,1440U7711_/0010,780,800,20,F
1144,1164,1440U7711_/0010,800,820,20,F
1164,1184,1440U7711_/0010,820,840,20,F
1184,1204,1440U7711_/0010,840,860,20,F
1204,1224,1440U7711_/0010,860,880,20,F
1224,1244,1440U7711_/0010,880,900,20,F
1244,1264,1440U7711_/0010,900,920,20,F
1264,1284,1440U7711_/0010,920,940,20,F
1284,1304,1440U7711_/0010,940,960,20,F
1304,1324,1440U7711_/0010,960,980,20,F
1324,1344,1440U7711_/0010,980,1000,20,F
1344,1364,1440U7711_/0010,1000,1020,20,F
1364,1384,1440U7711_/0010,1020,1040,20,F
1384,1404,1440U7711_/0010,1040,1060,20,F
1404,1424,1440U7711_/0010,1060,1080,20,F
1424,1444,1440U7711_/0010,1080,1100,20,F
1444,1464,1440U7711_/0010,1100,1120,20,F
1464,1484,1440U7711_/0010,1120,1140,20,F
1484,1504,1440U7711_/0010,1140,1160,20,F
1504,1524,1440U7711_/0010,1160,1180,20,F
1524,1544,1440U7711_/0010,1180,1200,20,F
1544,1564,1440U7711_/0010,1200,1220,20,F
1564,1584,1440U7711_/0010,1220,1240,20,F
1584,1604,1440U7711_/0010,1240,1260,20,F
1604,1624,1440U7711_/0010,1260,1280,20,F
1624,1644,1440U7711_/0010,1280,1300,20,F
1644,1664,1440U7711_/0010,1300,1320,20,F
1664,1684,1440U7711_/0010,1320,1340,20,F
1684,1704,1440U7711_/0010,1340,1360,20,F
1704,1724,1440U7711_/0010,1360,1380,20,F
1724,1744,1440U7711_/0010,1380,1400,20,F
1744,1764,1440U7711_/0010,1400,1420,20,F
1764,1784,1440U7711_/0010,1420,1440,20,F
1784,1804,1440U7711_/0010,1440,1460,20,F
1804,1824,1440U7711_/0010,1460,1480,20,F
1824,1844,1440U7711_/0010,1480,1500,20,F
1844,1864,1440U7711_/0010,1500,1520,20,F
1864,1884,1440U7711_/0010,1520,1540,20,F
1884,1904,1440U7711_/0010,1540,1560,20,F
1904,1924,1440U7711_/0010,1560,1580,20,F
1924,1944,1440U7711_/0010,1580,1600,20,F
1944,1964,1440U7711_/0010,1600,1620,20,F
1964,1984,1440U7711_/0010,1620,1640,20,F
1984,2004,1440U7711_/0010,1640,1660,20,F
2004,2024,1440U7711_/0010,1660,1680,20,F
2024,2044,1440U7711_/0010,1680,1700,20,F
2044,2064,1440U7711_/0010,1700,1720,20,F
2064,2084,1440U7711_/0010,1720,1740,20,F
2084,2104,1440U7711_/0010,1740,1760,20,F
2104,2124,1440U7711_/0010,1760,1780,20,F
2124,2144,1440U7711_/0010,1780,1800,20,F
2144,2164,1440U7711_/0010,1800,1820,20,F
2164,2184,1440U7711_/0010,1820,1840,20,F
2184,2204,1440U7711_/0010,1840,1860,20,F
2204,2224,1440U7711_/0010,1860,1880,20,F
2224,2244,1440U7711_/0010,1880,1900,20,F
2244,2264,1440U7711_/0010,1900,1920,20,F
2264,2284,1440U7711_/0010,1920,1940,20,F
2284,2304,1440U7711_/0010,1940,1960,20,F
2304,2324,1440U7711_/0010,1960,1980,20,F
2324,2344,1440U7711_/0010,1980,2000,20,F
2344,2364,1440U7711_/0010,2000,2020,20,F
2364,2384,1440U7711_/0010,2020,2040,20,F
2384,2404,1440U7711_/0010,2040,2060,20,F
2404,2424,1440U7711_/0010,2060,2080,20,F
2424,2444,1440U7711_/0010,2080,2100,20,F
2444,2464,1440U7711_/0010,2100,2120,20,F
2464,2484,1440U7711_/0010,2120,2140,20,F
2484,2504,1440U7711_/0010,2140,2160,20,F
2504,2524,1440U7711_/0010,2160,2180,20,F
2524,2544,1440U7711_/0010,2180,2200,20,F
2544,2564,1440U7711_/0010,2200,2220,20,F
2564,2584,1440U7711_/0010,2220,2240,20,F
2584,2604,1440U7711_/0010,2240,2260,20,F
2604,2624,1440U7711_/0010,2260,2280,20,F
2624,2644,1440U7711_/0010,2280,2300,20,F
2644,2664,1440U7711_/0010,2300,2320,20,F
2664,2684,1440U7711_/0010,2320,2340,20,F
2684,2704,1440U7711_/0010,2340,2360,20,F
2704,2724,1440U7711_/0010,2360,2380,20,F
2724,2744,1440U7711_/0010,2380,2400,20,F
2744,2764,1440U7711_/0010,2400,2420,20,F
2764,2784,1440U7711_/0010,2420,2440,20,F
2784,2804,1440U7711_/0010,2440,2460,20,F
2804,2824,1440U7711_/0010,2460,2480,20,F
2824,2844,1440U7711_/0010,2480,2500,20,F
2844,2864,1440U7711_/0010,2500,2520,20,F
2864,2884,1440U7711_/0010,2520,2540,20,F
2884,2904,1440U7711_/0010,2540,2560,20,F
2904,2924,1440U7711_/0010,2560,2580,20,F
2924,2944,1440U7711_/0010,2580,2600,20,F
2944,2964,1440U7711_/0010,2600,2620,20,F
2964,2984,1440U7711_/0010,2620,2640,20,F
2984,3004,1440U7711_/0010,2640,2660,20,F
3004,3024,1440U7711_/0010,2660,2680,20,F
3024,3044,1440U7711_/0010,2680,2700,20,F
3044,3064,1440U7711_/0010,2700,2720,20,F
3064,3084,1440U7711_/0010,2720,2740,20,F
3084,3104,1440U7711_/0010,2740,2760,20,F
3104,3124,1440U7711_/0010,2760,2780,20,F
3124,3144,1440U7711_/0010,2780,2800,20,F
3144,3164,1440U7711_/0010,2800,2820,20,F
3164,3184,1440U7711_/0010,2820,2840,20,F
3184,3204,1440U7711_/0010,2840,2860,20,F
3204,3224,1440U7711_/0010,2860,2880,20,F
3224,3244,1440U7711_/0010,2880,2900,20,F
3244,3264,1440U7711_/0010,2900,2920,20,F
3264,3284,1440U7711_/0010,2920,2940,20,F
3284,3304,1440U7711_/0010,2940,2960,20,F
3304,3324,1440U7711_/0010,2960,2980,20,F
3324,3344,1440U7711_/0010,2980,3000,20,F
3344,3364,1440U7711_/0010,3000,3020,20,F
3364,3384,1440U7711_/0010,3020,3040,20,F
3384,3404,1440U7711_/0010,3040,3060,20,F
3404,3424,1440U7711_/0010,3060,3080,20,F
3424,3444,1440U7711_/0010,3080,3100,20,F
3444,3464,1440U7711_/0010,3100,3120,20,F
3464,3484,1440U7711_/0010,3120,3140,20,F
3484,3504,1440U7711_/0010,3140,3160,20,F
3504,3524,1440U7711_/0010,3160,3180,20,F
3524,3544,1440U7711_/0010,3180,3200,20,F
3544,3564,1440U7711_/0010,3200,3220,20,F
3564,3584,1440U7711_/0010,3220,3240,20,F
3584,3604,1440U7711_/0010,3240,3260,20,F
3604,3624,1440U7711_/0010,3260,3280,20,F
3624,3644,1440U7711_/0010,3280,3300,20,F
3644,3664,1440U7711_/0010,3300,3320,20,F
3664,3684,1440U7711_/0010,3320,3340,20,F
3684,3704,1440U7711_/0010,3340,3360,20,F
3704,3724,1440U7711_/0010,3360,3380,20,F
3724,3744,1440U7711_/0010,3380,3400,20,F
3744,3764,1440U7711_/0010,3400,3420,20,F
3764,3784,1440U7711_/0010,3420,3440,20,F
3784,3804,1440U7711_/0010,3440,3460,20,F
3804,3824,1440U7711_/0010,3460,3480,20,F
3824,3844,1440U7711_/0010,3480,3500,20,F
3844,3864,1440U7711_/0010,3500,3520,20,F
3864,3884,1440U7711_/0010,3520,3540,20,F
3884,3904,1440U7711_/0010,3540,3560,20,F
3904,3924,1440U7711_/0010,3560,3580,20,F
3924,3944,1440U7711_/0010,3580,3600,20,F
3944,3964,1440U7711_/0010,3600,3620,20,F
3964,3984,1440U7711_/0010,3620,3640,20,F
3984,4004,1440U7711_/0010,3640,3660,20,F
4004,4024,1440U7711_/0010,3660,3680,20,F
4024,4044,1440U7711_/0010,3680,3700,20,F
4044,4064,1440U7711_/0010,3700,3720,20,F
4064,4084,1440U7711_/0010,3720,3740,20,F
4084,4104,1440U7711_/0010,3740,3760,20,F
4104,4124,1440U7711_/0010,3760,3780,20,F
4124,4144,1440U7711_/0010,3780,3800,20,F
4144,4164,1440U7711_/0010,3800,3820,20,F
4164,4184,1440U7711_/0010,3820,3840,20,F
4184,4204,1440U7711_/0010,3840,3860,20,F
4204,4224,1440U7711_/0010,3860,3880,20,F
4224,4244,1440U7711_/0010,3880,3900,20,F
4244,4264,1440U7711_/0010,3900,3920,20,F
4264,4284,1440U7711_/0010,3920,3940,20,F
4284,4304,1440U7711_/0010,3940,3960,20,F
4304,4324,1440U7711_/0010,3960,3980,20,F
4324,4344,1440U7711_/0010,3980,4000,20,F
4344,4364,1440U7711_/0010,4000,4020,20,F
4364,4384,1440U7711_/0010,4020,4040,20,F
4384,4404,1440U7711_/0010,4040,4060,20,F
4404,4424,1440U7711_/0010,4060,4080,20,F
4424,4444,1440U7711_/0010,4080,4100,20,F
4444,4464,1440U7711_/0010,4100,4120,20,F
4464,4484,1440U7711_/0010,4120,4140,20,F
4484,4504,1440U7711_/0010,4140,4160,20,F
4504,4524,1440U7711_/0010,4160,4180,20,F
4524,4544,1440U7711_/0010,4180,4200,20,F
4544,4564,1440U7711_/0010,4200,4220,20,F
4564,4584,1440U7711_/0010,4220,4240,20,F
4584,4604,1440U7711_/0010,4240,4260,20,F
4604,4624,1440U7711_/0010,4260,4280,20,F
4624,4644,1440U7711_/0010,4280,4300,20,F
4644,4664,1440U7711_/0010,4300,4320,20,F
4664,4684,1440U7711_/0010,4320,4340,20,F
4684,4704,1440U7711_/0010,4340,4360,20,F
4704,4724,1440U7711_/0010,4360,4380,20,F
4724,4744,1440U7711_/0010,4380,4400,20,F
4744,4764,1440U7711_/0010,4400,4420,20,F
4764,4784,1440U7711_/0010,4420,4440,20,F
4784,4804,1440U7711_/0010,4440,4460,20,F
4804,4824,1440U7711_/0010,4460,4480,20,F
4824,4844,1440U7711_/0010,4480,4500,20,F
4844,4864,1440U7711_/0010,4500,4520,20,F
4864,4884,1440U7711_/0010,4520,4540,20,F
4884,4904,1440U7711_/0010,4540,4560,20,F
4904,4924,1440U7711_/0010,4560,4580,20,F
4924,4944,1440U7711_/0010,4580,4600,20,F
4944,4964,1440U7711_/0010,4600,4620,20,F
4964,4984,1440U7711_/0010,4620,4640,20,F
4984,5004,1440U7711_/0010,4640,4660,20,F
5004,5024,1440U7711_/0010,4660,4680,20,F
5024,5044,1440U7711_/0010,4680,4700,20,F
5044,5064,1440U7711_/0010,4700,4720,20,F
5064,5084,1440U7711_/0010,4720,4740,20,F
5084,5104,1440U7711_/0010,4740,4760,20,F
5104,5124,1440U7711_/0010,4760,4780,20,F
5124,5144,1440U7711_/0010,4780,4800,20,F
5144,5164,1440U7711_/0010,4800,4820,20,F
5164,5184,1440U7711_/0010,4820,4840,20,F
5184,5204,1440U7711_/0010,4840,4860,20,F
5204,5224,1440U7711_/0010,4860,4880,20,F
5224,5244,1440U7711_/0010,4880,4900,20,F
5244,5264,1440U7711_/0010,4900,4920,20,F
5264,5284,1440U7711_/0010,4920,4940,20,F
5284,5304,1440U7711_/0010,4940,4960,20,F
5304,5324,1440U7711_/0010,4960,4980,20,F
5324,5344,1440U7711_/0010,4980,5000,20,F
5344,5364,1440U7711_/0010,5000,5020,20,F
5364,5384,1440U7711_/0010,5020,5040,20,F
5384,5404,1440U7711_/0010,5040,5060,20,F
5404,5424,1440U7711_/0010,5060,5080,20,F
5424,5444,1440U7711_/0010,5080,5100,20,F
5444,5464,1440U7711_/0010,5100,5120,20,F
5464,5484,1440U7711_/0010,5120,5140,20,F
5484,5504,1440U7711_/0010,5140,5160,20,F
5504,5524,1440U7711_/0010,5160,5180,20,F
5524,5544,1440U7711_/0010,5180,5200,20,F
5544,5564,1440U7711_/0010,5200,5220,20,F
5564,5584,1440U7711_/0010,5220,5240,20,F
5584,5604,1440U7711_/0010,5240,5260,20,F
5604,5624,1440U7711_/0010,5260,5280,20,F
5624,5644,1440U7711_/0010,5280,5300,20,F
5644,5664,1440U7711_/0010,5300,5320,20,F
5664,5684,1440U7711_/0010,5320,5340,20,F
5684,5704,1440U7711_/0010,5340,5360,20,F
5704,5724,1440U7711_/0010,5360,5380,20,F
5724,5744,1440U7711_/0010,5380,5400,20,F
5744,5764,1440U7711_/0010,5400,5420,20,F
5764,5784,1440U7711_/0010,5420,5440,20,F
5784,5804,1440U7711_/0010,5440,5460,20,F
5804,5824,1440U7711_/0010,5460,5480,20,F
