GRD Start Ch,GRD End Ch,Section,Start Ch,End Ch,Length,Direction
112,132,1440U2223_/0050,0,20,20,R
132,152,1440U2223_/0050,20,40,20,R
152,172,1440U2223_/0050,40,60,20,R
172,192,1440U2223_/0050,60,80,20,R
192,212,1440U2223_/0050,80,100,20,R
212,232,1440U2223_/0050,100,120,20,R
232,252,1440U2223_/0050,120,140,20,R
252,272,1440U2223_/0050,140,160,20,R
272,292,1440U2223_/0050,160,180,20,R
292,298,1440U2223_/0050,180,186,6,R
298,318,1440U2223_/0012,0,20,20,F
318,338,1440U2223_/0012,20,40,20,F
338,358,1440U2223_/0012,40,60,20,F
358,378,1440U2223_/0012,60,80,20,F
378,398,1440U2223_/0012,80,100,20,F
398,398,1440U2223_/0012,100,100,0,F
474,488,1440U2223_/0050,186,200,14,R
488,508,1440U2223_/0050,200,220,20,R
508,528,1440U2223_/0050,220,240,20,R
528,548,1440U2223_/0050,240,260,20,R
548,552,1440U2223_/0050,260,264,4,R
552,572,1440U2223_/0014,0,20,20,F
572,592,1440U2223_/0014,20,40,20,F
592,601,1440U2223_/0014,40,49,9,F
602,618,1440U2223_/0050,264,280,16,R
618,633,1440U2223_/0050,280,295,15,R
633,653,1440U2224_/0030,0,20,20,F
653,673,1440U2224_/0030,20,40,20,F
673,693,1440U2224_/0030,40,60,20,F
693,713,1440U2224_/0030,60,80,20,F
713,733,1440U2224_/0030,80,100,20,F
733,753,1440U2224_/0030,100,120,20,F
753,763,1440U2224_/0030,120,130,10,F
884,888,1440U2223_/0050,295,300,5,R
888,908,1440U2223_/0050,300,320,20,R
908,928,1440U2223_/0050,320,340,20,R
928,948,1440U2222_/0140,0,20,20,F
948,964,1440U2222_/0140,20,36,16,F
987,988,1440U2223_/0050,340,340,0,R
988,1008,1440U2223_/0050,340,360,20,R
1008,1028,1440U2223_/0050,360,380,20,R
1028,1048,1440U2224_/0020,0,20,20,F
1048,1068,1440U2224_/0020,20,40,20,F
1068,1088,1440U2224_/0020,40,60,20,F
1088,1108,1440U2224_/0020,60,80,20,F
1108,1128,1440U2224_/0020,80,100,20,F
1128,1148,1440U2224_/0020,100,120,20,F
1148,1168,1440U2224_/0020,120,140,20,F
1168,1183,1440U2224_/0020,140,155,15,F
1289,1289,1440U2223_/0050,380,380,0,R
1289,1309,1440U2223_/0050,380,400,20,R
1309,1329,1440U2223_/0050,400,420,20,R
1329,1342,1440U2223_/0050,420,433,13,R
1342,1362,1440U2223_/0040,0,20,20,R
1362,1382,1440U2223_/0040,20,40,20,R
1382,1402,1440U2223_/0040,40,60,20,R
1402,1413,1440U2223_/0040,60,71,11,R
1413,1433,1440U2222_/0070,0,20,20,R
1433,1453,1440U2222_/0070,20,40,20,R
1453,1473,1440U2222_/0070,40,60,20,R
1473,1493,1440U2222_/0070,60,80,20,R
1493,1513,1440U2222_/0070,80,100,20,R
1513,1533,1440U2222_/0070,100,120,20,R
1533,1551,1440U2222_/0070,120,138,18,R
1678,1687,1440U2223_/0040,71,80,9,R
1687,1707,1440U2223_/0040,80,100,20,R
1707,1727,1440U2223_/0040,100,120,20,R
1727,1747,1440U2223_/0040,120,140,20,R
1747,1767,1440U2223_/0040,140,160,20,R
1767,1787,1440U2223_/0040,160,180,20,R
1787,1807,1440U2223_/0040,180,200,20,R
1807,1827,1440U2223_/0040,200,220,20,R
1827,1847,1440U2223_/0040,220,240,20,R
1847,1867,1440U2223_/0040,240,260,20,R
1867,1884,1440U2223_/0040,260,278,18,R
1884,1904,1440U2345_/0010,0,20,20,R
1904,1924,1440U2345_/0010,20,40,20,R
1924,1944,1440U2345_/0010,40,60,20,R
1944,1964,1440U2345_/0010,60,80,20,R
1964,1984,1440U2345_/0010,80,100,20,R
1984,1998,1440U2345_/0010,100,114,14,R
2013,2033,1440U2346_/0010,0,20,20,R
2033,2053,1440U2346_/0010,20,40,20,R
2053,2073,1440U2346_/0010,40,60,20,R
2073,2083,1440U2346_/0010,60,69,9,R
2083,2103,1440U2346_/0020,0,20,20,R
2103,2119,1440U2346_/0020,20,36,16,R
2119,2129,1440U2346_/0010,69,80,11,R
2129,2149,1440U2346_/0010,80,100,20,R
2149,2169,1440U2346_/0010,100,120,20,R
2169,2187,1440U2346_/0010,120,138,18,R
2188,2195,1440U2346_/0022,0,7,7,F
2208,2228,1440U2345_/0020,0,20,20,F
2228,2240,1440U2345_/0020,20,32,12,F
2342,2362,1440U2223_/0020,0,20,20,R
2362,2382,1440U2223_/0020,20,40,20,R
2382,2402,1440U2223_/0020,40,60,20,R
2402,2422,1440U2223_/0020,60,80,20,R
2422,2442,1440U2223_/0020,80,100,20,R
2442,2462,1440U2223_/0020,100,120,20,R
2462,2482,1440U2223_/0020,120,140,20,R
2482,2502,1440U2223_/0020,140,160,20,R
2502,2514,1440U2223_/0020,160,172,12,R
2679,2699,1440U2276_/0010,0,20,20,F
2699,2719,1440U2276_/0010,20,40,20,F
2719,2739,1440U2276_/0010,40,60,20,F
2739,2759,1440U2276_/0010,60,80,20,F
2759,2779,1440U2276_/0010,80,100,20,F
2779,2799,1440U2276_/0010,100,120,20,F
2799,2819,1440U2276_/0010,120,140,20,F
2819,2839,1440U2276_/0010,140,160,20,F
2839,2859,1440U2276_/0010,160,180,20,F
2859,2879,1440U2276_/0010,180,200,20,F
2879,2899,1440U2276_/0010,200,220,20,F
2899,2919,1440U2276_/0010,220,240,20,F
2919,2923,1440U2276_/0010,240,244,4,F
2923,2943,1440U2224_/0140,0,20,20,F
2943,2963,1440U2224_/0140,20,40,20,F
2963,2983,1440U2224_/0140,40,60,20,F
2983,3003,1440U2224_/0140,60,80,20,F
3003,3023,1440U2224_/0140,80,100,20,F
3023,3043,1440U2224_/0140,100,120,20,F
3043,3057,1440U2224_/0140,120,134,14,F
3057,3077,1440U2224_/0144,0,20,20,R
3077,3097,1440U2224_/0144,20,40,20,R
3097,3117,1440U2224_/0144,40,60,20,R
3117,3133,1440U2224_/0144,60,76,16,R
3198,3204,1440U2224_/0140,134,140,6,F
3204,3224,1440U2224_/0140,140,160,20,F
3224,3233,1440U2224_/0140,160,169,9,F
3277,3297,1440U2224_/0146,0,20,20,F
3297,3314,1440U2224_/0146,20,37,17,F
3335,3351,1440U2276_/0010,244,260,16,F
3351,3371,1440U2276_/0010,260,280,20,F
3371,3391,1440U2276_/0010,280,300,20,F
3391,3411,1440U2276_/0010,300,320,20,F
3411,3431,1440U2276_/0010,320,340,20,F
3431,3451,1440U2276_/0010,340,360,20,F
3451,3471,1440U2276_/0010,360,380,20,F
3471,3491,1440U2276_/0010,380,400,20,F
3491,3511,1440U2276_/0010,400,420,20,F
3511,3531,1440U2276_/0010,420,440,20,F
3531,3551,1440U2276_/0010,440,460,20,F
3551,3571,1440U2276_/0010,460,480,20,F
3571,3591,1440U2276_/0010,480,500,20,F
3591,3611,1440U2276_/0010,500,520,20,F
3611,3631,1440U2276_/0010,520,540,20,F
3631,3651,1440U2276_/0010,540,560,20,F
3651,3671,1440U2276_/0010,560,580,20,F
3671,3683,1440U2276_/0010,580,592,12,F
3683,3703,1440U2224_/0120,0,20,20,R
3703,3723,1440U2224_/0120,20,40,20,R
3723,3743,1440U2224_/0120,40,60,20,R
3743,3763,1440U2224_/0120,60,80,20,R
3763,3783,1440U2224_/0120,80,100,20,R
3783,3790,1440U2224_/0120,100,107,7,R
3790,3810,1440U2224_/0124,0,20,20,R
3810,3830,1440U2224_/0124,20,40,20,R
3830,3845,1440U2224_/0124,40,55,15,R
3854,3874,1440U2224_/0126,0,20,20,F
3874,3883,1440U2224_/0126,20,29,9,F
3889,3902,1440U2224_/0122,0,13,13,F
3902,3914,1440U2224_/0120,107,120,13,R
