GRD_Start_Ch,GRD_End_Ch,Section,Start_Ch,End_Ch,Length,Direction,SECTION_DE,SECTION_LE,ROAD_NUMBE,ROAD_HIERA,NO_OF_LANE,SECTION_WI,SPEED_LIMI,ROAD_CLASS,ROAD_NAME,DISTRICT_N,WARD_NAME,NSG_USRN,EAST_SUSSE,X,Y,Route_ID,Zone
365.6,385.6,1440U7465_/0020,0.0,20.0,20.0,F,2,63.0,U7465,M105,2,6.5,60,RU,BLENHEIM FIELDS,3 Wealden,Forest Row,42700276,4b,0,236,860,1
385.6,405.6,1440U7465_/0020,20.0,40.0,20.0,F,2,63.0,U7465,M105,2,6.5,60,RU,BLENHEIM FIELDS,3 Wealden,Forest Row,42700276,4b,0,236,860,1
405.6,425.6,1440U7465_/0020,40.0,60.0,20.0,F,2,63.0,U7465,M105,2,6.5,60,RU,BLENHEIM FIELDS,3 Wealden,Forest Row,42700276,4b,0,236,860,1
425.6,428.6,1440U7465_/0020,60.0,63.0,3.0,F,2,63.0,U7465,M105,2,6.5,60,RU,BLENHEIM FIELDS,3 Wealden,Forest Row,42700276,4b,0,236,860,1
1782.0,1802.0,1440U7464_/0030,0.0,20.0,20.0,F,2,78.0,U7464,M105,2,6.5,60,RU,KIDBROOKE RISE,3 Wealden,Forest Row,42700255,4b,0,756,203,1
1802.0,1822.0,1440U7464_/0030,20.0,40.0,20.0,F,2,78.0,U7464,M105,2,6.5,60,RU,KIDBROOKE RISE,3 Wealden,Forest Row,42700255,4b,0,756,203,1
1822.0,1842.0,1440U7464_/0030,40.0,60.0,20.0,F,2,78.0,U7464,M105,2,6.5,60,RU,KIDBROOKE RISE,3 Wealden,Forest Row,42700255,4b,0,756,203,1
1842.0,1860.0,1440U7464_/0030,60.0,78.0,18.0,F,2,78.0,U7464,M105,2,6.5,60,RU,KIDBROOKE RISE,3 Wealden,Forest Row,42700255,4b,0,756,203,1
2307.2,2327.2,1440U7462_/0010,0.0,20.0,20.0,F,2,158.0,U7462,M105,2,6.5,60,RU,SWANS GHYLL,3 Wealden,Forest Row,42700277,4b,0,6,316,1
2327.2,2347.2,1440U7462_/0010,20.0,40.0,20.0,F,2,158.0,U7462,M105,2,6.5,60,RU,SWANS GHYLL,3 Wealden,Forest Row,42700277,4b,0,6,316,1
2347.2,2367.2,1440U7462_/0010,40.0,60.0,20.0,F,2,158.0,U7462,M105,2,6.5,60,RU,SWANS GHYLL,3 Wealden,Forest Row,42700277,4b,0,6,316,1
2367.2,2387.2,1440U7462_/0010,60.0,80.0,20.0,F,2,158.0,U7462,M105,2,6.5,60,RU,SWANS GHYLL,3 Wealden,Forest Row,42700277,4b,0,6,316,1
2387.2,2407.2,1440U7462_/0010,80.0,100.0,20.0,F,2,158.0,U7462,M105,2,6.5,60,RU,SWANS GHYLL,3 Wealden,Forest Row,42700277,4b,0,6,316,1
2407.2,2427.2,1440U7462_/0010,100.0,120.0,20.0,F,2,158.0,U7462,M105,2,6.5,60,RU,SWANS GHYLL,3 Wealden,Forest Row,42700277,4b,0,6,316,1
2427.2,2447.2,1440U7462_/0010,120.0,140.0,20.0,F,2,158.0,U7462,M105,2,6.5,60,RU,SWANS GHYLL,3 Wealden,Forest Row,42700277,4b,0,6,316,1
2447.2,2465.2,1440U7462_/0010,140.0,158.0,18.0,F,2,158.0,U7462,M105,2,6.5,60,RU,SWANS GHYLL,3 Wealden,Forest Row,42700277,4b,0,6,316,1
1130.8,1150.8,1440U7520_/0010,0.0,20.0,20.0,R,2,169.0,U7520,M105,2,6.5,60,RU,HILLSIDE (ONE WAY),3 Wealden,Forest Row,42702135,4b,0,171,49,1
1150.8,1170.8,1440U7520_/0010,20.0,40.0,20.0,R,2,169.0,U7520,M105,2,6.5,60,RU,HILLSIDE (ONE WAY),3 Wealden,Forest Row,42702135,4b,0,171,49,1
1170.8,1190.8,1440U7520_/0010,40.0,60.0,20.0,R,2,169.0,U7520,M105,2,6.5,60,RU,HILLSIDE (ONE WAY),3 Wealden,Forest Row,42702135,4b,0,171,49,1
1190.8,1210.8,1440U7520_/0010,60.0,80.0,20.0,R,2,169.0,U7520,M105,2,6.5,60,RU,HILLSIDE (ONE WAY),3 Wealden,Forest Row,42702135,4b,0,171,49,1
